State or Country,Region,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
alabama,auburn,real estate - by broker,7141106057,None,iuhiu,https://auburn.craigslist.org/reb/d/longmont-iuhiu/7141106057.html,2020-06-13,12:09,$0,thonton,False,None,None,None
alabama,auburn,real estate - by broker,7139312075,None,"Florida Home for Sale in Santa Rosa Beach,  (4bd 4ba)",https://auburn.craigslist.org/reb/d/santa-rosa-beach-florida-home-for-sale/7139312075.html,2020-06-10,12:24,$1525000,Watercolor,True,None,4,2256ft2
alabama,auburn,real estate - by broker,7130561024,None,"Home in the Mountains and on the lake, too",https://auburn.craigslist.org/reb/d/wilsonville-home-in-the-mountains-and/7130561024.html,2020-05-26,09:40,$398500,Sylacauga Lay Lake,True,None,3,None
alabama,auburn,real estate - by broker,7130020522,None,50 Acres with Pond,https://auburn.craigslist.org/reb/d/franklin-50-acres-with-pond/7130020522.html,2020-05-25,09:14,$250000,"Franklin, GA",True,None,None,None
alabama,auburn,real estate - by broker,7122546872,None,*REDUCED* Asheton Lakes Home in Auburn,https://auburn.craigslist.org/reb/d/auburn-reduced-asheton-lakes-home-in/7122546872.html,2020-05-17,10:31,$369900,None,True,None,None,None
alabama,auburn,real estate - by broker,7112267412,None,Two Auburn Home Lots -Behind Soccer Complex,https://auburn.craigslist.org/reb/d/auburn-university-two-auburn-home-lots/7112267412.html,2020-05-03,16:06,$0,Auburn (Talhiem Street),False,None,None,None
alabama,auburn,real estate - by owner,7132847999,None,2019 Cavalier Manufactured Home,https://auburn.craigslist.org/reo/d/ozark-2019-cavalier-manufactured-home/7132847999.html,2020-06-13,07:06,$52000,Ozark,True,None,3,1300ft2
alabama,auburn,real estate - by owner,7127465795,6865222173,50 acres near Lake Martin OWC,https://auburn.craigslist.org/reo/d/lafayette-50-acres-near-lake-martin-owc/7127465795.html,2020-06-13,05:06,$180000,"dudleyville, al.",True,None,None,None
alabama,auburn,real estate - by owner,7124850126,None,1890 Farmhouse on 5 Acres,https://auburn.craigslist.org/reo/d/lafayette-1890-farmhouse-on-5-acres/7124850126.html,2020-06-12,14:47,$325000,Lafayette,True,None,4,2400ft2
alabama,auburn,real estate - by owner,7130753075,None,Brick Home with Acreage,https://auburn.craigslist.org/reo/d/cantonment-brick-home-with-acreage/7130753075.html,2020-06-12,09:35,$220000,"570 E Kingsfield Rd Cantonment, FL",True,None,3,3013ft2
alabama,auburn,real estate - by owner,7129681853,None,3 Bedroom 2 bath Home for Sale,https://auburn.craigslist.org/reo/d/valley-3-bedroom-2-bath-home-for-sale/7129681853.html,2020-06-12,08:18,$170000,Valley AL,True,None,None,1773ft2
alabama,auburn,real estate - by owner,7139628094,7073769313,2019 Mobile home for sale,https://auburn.craigslist.org/reo/d/opelika-2019-mobile-home-for-sale/7139628094.html,2020-06-10,21:33,$60000,Opelika,False,None,3,1216ft2
alabama,auburn,real estate - by owner,7139364590,None,Office Rooms For Lease Near Auburn Mall,https://auburn.craigslist.org/reo/d/auburn-office-rooms-for-lease-near/7139364590.html,2020-06-10,13:34,$0,None,True,None,None,None
alabama,auburn,real estate - by owner,7139005358,None,3 Bedroom 2.5 Bath Home for Rent,https://auburn.craigslist.org/reo/d/auburn-3-bedroom-25-bath-home-for-rent/7139005358.html,2020-06-09,20:52,$1600,Auburn,True,None,3,1590ft2
alabama,auburn,real estate - by owner,7131112444,None,Investment in Country Living,https://auburn.craigslist.org/reo/d/cantonment-investment-in-country-living/7131112444.html,2020-06-09,08:32,$152395,"1756 Hwy 95A N Cantonment, FL",True,None,3,1560ft2
